Дата і час,Температура повітря,Температура точки роси,Опади,Атмосферний тиск,Напрямок вітру,Швидкість вітру,Радіаційний фон,
05.06.2025 12:00,18.6,9.8,,,250,8,,
05.06.2025 9:00,16.0,11.2,,,250,10,,
05.06.2025 6:00,14.2,11.4,,,250,4,,
05.06.2025 3:00,14.1,11.7,,,230,4,,
05.06.2025 0:00,14.7,9.0,,,250,2,,
04.06.2025 21:00,15.4,10.0,,,250,1,,
04.06.2025 18:00,17.4,8.6,,,250,1,,
04.06.2025 15:00,18.4,9.5,,,230,2,,
04.06.2025 12:00,17.0,8.0,,,200,2,,
04.06.2025 9:00,13.4,9.0,,,250,3,,
04.06.2025 6:00,11.2,9.8,,,290,2,,
04.06.2025 3:00,12.0,10.6,,,290,6,,
04.06.2025 0:00,12.8,11.1,,,250,5,,
03.06.2025 21:00,14.6,12.9,,,160,5,,
03.06.2025 18:00,15.9,13.0,,,160,5,,
03.06.2025 15:00,16.6,11.9,,,160,7,,
03.06.2025 12:00,15.5,11.2,,,340,7,,
03.06.2025 9:00,14.7,10.5,,,340,5,,
03.06.2025 6:00,13.3,10.3,,,250,6,,
03.06.2025 3:00,13.1,10.2,,,180,7,,
03.06.2025 0:00,13.6,10.7,,,200,5,,
02.06.2025 21:00,14.4,9.5,,,250,8,,
02.06.2025 18:00,16.0,8.8,,,250,6,,
02.06.2025 15:00,16.2,9.7,,,250,6,,
02.06.2025 12:00,12.8,9.9,,,250,8,,
02.06.2025 9:00,11.8,10.0,,,270,9,,
02.06.2025 6:00,11.6,8.5,,,250,7,,
02.06.2025 3:00,11.6,7.7,,,250,7,,
02.06.2025 0:00,11.4,6.2,,,290,3,,
01.06.2025 21:00,10.2,9.2,15.0 (12),,320,7,,
01.06.2025 18:00,10.6,8.0,,,320,3,,
01.06.2025 15:00,12.1,10.2,1.0 (6),,340,1,,
01.06.2025 12:00,15.8,5.6,,,290,1,,
01.06.2025 9:00,13.6,6.5,,,250,3,,
01.06.2025 6:00,11.0,7.7,,,270,5,,
01.06.2025 3:00,10.6,7.3,,,290,5,,
01.06.2025 0:00,9.8,8.0,,,0,0,,
31.05.2025 21:00,10.9,8.5,,,250,4,,
31.05.2025 18:00,13.2,8.0,,,0,0,,
31.05.2025 15:00,13.2,5.8,,,20,6,,
31.05.2025 12:00,12.2,5.0,,,290,7,,
31.05.2025 9:00,8.4,4.1,,,0,0,,
31.05.2025 6:00,4.9,1.9,,,290,1,,
31.05.2025 3:00,5.2,2.0,,,290,2,,
31.05.2025 0:00,6.2,3.1,,,0,0,,
30.05.2025 21:00,8.3,4.5,,,0,0,,
30.05.2025 18:00,9.7,5.3,,,320,3,,
30.05.2025 15:00,9.5,2.7,,,320,3,,
30.05.2025 12:00,7.5,3.0,,,70,3,,
30.05.2025 9:00,4.5,2.0,.7 (12),,320,5,,
30.05.2025 6:00,3.4,2.9,,,320,7,,
30.05.2025 3:00,5.4,5.2,.7 (6),,320,5,,
30.05.2025 0:00,5.9,5.7,,,340,3,,
29.05.2025 21:00,6.6,6.2,3.0 (12),,0,0,,
29.05.2025 18:00,7.2,6.5,,,290,4,,
29.05.2025 15:00,7.6,7.1,.4 (6),,0,0,,
